country,iso3,g_whoregion,year,indicator,value
Viet Nam,VNM,WPR,2023,e_inc_100k,182.0
Cambodia,KHM,WPR,2018,e_inc_num,50000.0
Cambodia,KHM,WPR,2019,e_inc_num,47000.0
Cambodia,KHM,WPR,2020,e_inc_num,47000.0
Cambodia,KHM,WPR,2021,e_inc_num,48000.0
Cambodia,KHM,WPR,2022,e_inc_num,55000.0
Cambodia,KHM,WPR,2023,e_inc_num,58000.0
Indonesia,IDN,WPR,2018,e_inc_num,852000.0
Indonesia,IDN,WPR,2019,e_inc_num,851000.0
Indonesia,IDN,WPR,2020,e_inc_num,829000.0
Indonesia,IDN,WPR,2021,e_inc_num,946000.0
Indonesia,IDN,WPR,2022,e_inc_num,1080000.0
Indonesia,IDN,WPR,2023,e_inc_num,1090000.0
Lao People's Democratic Republic,LAO,WPR,2018,e_inc_num,12000.0
Lao People's Democratic Republic,LAO,WPR,2019,e_inc_num,11000.0
Lao People's Democratic Republic,LAO,WPR,2020,e_inc_num,11000.0
Lao People's Democratic Republic,LAO,WPR,2021,e_inc_num,11000.0
Lao People's Democratic Republic,LAO,WPR,2022,e_inc_num,10000.0
Lao People's Democratic Republic,LAO,WPR,2023,e_inc_num,10000.0
Malaysia,MYS,WPR,2018,e_inc_num,30000.0
Malaysia,MYS,WPR,2019,e_inc_num,31000.0
Malaysia,MYS,WPR,2020,e_inc_num,31000.0
Malaysia,MYS,WPR,2021,e_inc_num,33000.0
Malaysia,MYS,WPR,2022,e_inc_num,39000.0
Malaysia,MYS,WPR,2023,e_inc_num,43000.0
Myanmar,MMR,SEA,2018,e_inc_num,177000.0
Myanmar,MMR,SEA,2019,e_inc_num,169000.0
Myanmar,MMR,SEA,2020,e_inc_num,165000.0
Myanmar,MMR,SEA,2021,e_inc_num,193000.0
Myanmar,MMR,SEA,2022,e_inc_num,256000.0
Myanmar,MMR,SEA,2023,e_inc_num,302000.0
Philippines,PHL,WPR,2018,e_inc_num,607000.0
Philippines,PHL,WPR,2019,e_inc_num,614000.0
Philippines,PHL,WPR,2020,e_inc_num,600000.0
Philippines,PHL,WPR,2021,e_inc_num,659000.0
Philippines,PHL,WPR,2022,e_inc_num,714000.0
Philippines,PHL,WPR,2023,e_inc_num,739000.0
Singapore,SGP,WPR,2018,e_inc_num,2700.0
Singapore,SGP,WPR,2019,e_inc_num,2400.0
Singapore,SGP,WPR,2020,e_inc_num,2700.0
Singapore,SGP,WPR,2021,e_inc_num,2800.0
Singapore,SGP,WPR,2022,e_inc_num,3100.0
Singapore,SGP,WPR,2023,e_inc_num,2400.0
Thailand,THA,SEA,2018,e_inc_num,109000.0
Thailand,THA,SEA,2019,e_inc_num,107000.0
Thailand,THA,SEA,2020,e_inc_num,103000.0
Thailand,THA,SEA,2021,e_inc_num,101000.0
Thailand,THA,SEA,2022,e_inc_num,107000.0
Thailand,THA,SEA,2023,e_inc_num,113000.0
Timor-Leste,TLS,SEA,2018,e_inc_num,6400.0
Timor-Leste,TLS,SEA,2019,e_inc_num,6500.0
Timor-Leste,TLS,SEA,2020,e_inc_num,6600.0
Timor-Leste,TLS,SEA,2021,e_inc_num,6700.0
Timor-Leste,TLS,SEA,2022,e_inc_num,6800.0
Timor-Leste,TLS,SEA,2023,e_inc_num,6900.0
Viet Nam,VNM,WPR,2018,e_inc_num,175000.0
Viet Nam,VNM,WPR,2019,e_inc_num,171000.0
Viet Nam,VNM,WPR,2020,e_inc_num,169000.0
Viet Nam,VNM,WPR,2021,e_inc_num,167000.0
Viet Nam,VNM,WPR,2022,e_inc_num,178000.0
Viet Nam,VNM,WPR,2023,e_inc_num,182000.0
Cambodia,KHM,WPR,2018,e_mort_100k,21.0
Cambodia,KHM,WPR,2019,e_mort_100k,20.0
Cambodia,KHM,WPR,2020,e_mort_100k,20.0
Cambodia,KHM,WPR,2021,e_mort_100k,24.0
Cambodia,KHM,WPR,2022,e_mort_100k,27.0
Cambodia,KHM,WPR,2023,e_mort_100k,25.0
Indonesia,IDN,WPR,2018,e_mort_100k,37.0
Indonesia,IDN,WPR,2019,e_mort_100k,36.0
Indonesia,IDN,WPR,2020,e_mort_100k,39.0
Indonesia,IDN,WPR,2021,e_mort_100k,50.0
Indonesia,IDN,WPR,2022,e_mort_100k,52.0
Indonesia,IDN,WPR,2023,e_mort_100k,47.0
Lao People's Democratic Republic,LAO,WPR,2018,e_mort_100k,34.0
Lao People's Democratic Republic,LAO,WPR,2019,e_mort_100k,30.0
